Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
346;20300195011;"International Conference on Systems, Signals, and Image Processing";conference and proceedings;"21578702, 21578672";"IEEE Computer Society";No;No;0,186;-;23;21;151;481;115;147;0,76;22,90;20,69;0;3;United States;Northern America;"IEEE Computer Society";"2011, 2013-2014, 2016-2020, 2022-2024";"Artificial Intelligence; Computer Networks and Communications; Signal Processing; Software";"Computer Science"
347;21100826268;"Computer Science";journal;"23007036, 15082806";"AGH University of Science and Technology";Yes;Yes;0,185;Q4;11;23;72;1094;54;72;0,83;47,57;23,44;0;3;Poland;Eastern Europe;"AGH University of Science and Technology";"2017-2024";"Computer Graphics and Computer-Aided Design (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Computer Science (miscellaneous) (Q4); Computer Vision and Pattern Recognition (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
348;19700186872;"International Journal of Cognitive Informatics and Natural Intelligence";journal;"15573958, 15573966";"IGI Global Publishing";No;No;0,185;Q4;28;31;102;875;91;102;1,08;28,23;46,58;0;7;United States;Northern America;"IGI Global Publishing";"2007-2025";"Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science"
349;21100863713;"International Journal of Knowledge and Systems Science";journal;"19478216, 19478208";"IGI Global Publishing";No;No;0,184;Q4;11;6;47;383;41;47;0,85;63,83;53,57;0;4;United States;Northern America;"IGI Global Publishing";"2017-2024";"Artificial Intelligence (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
350;21101206993;"Journal of Zhengzhou University - Natural Science";journal;"16716841";"Editorial Department of Journal of Zhengzhou University";No;No;0,184;Q4;9;72;215;1705;129;215;0,64;23,68;36,25;0;16;China;Asiatic Region;"Editorial Department of Journal of Zhengzhou University";"2020-2024";"Multidisciplinary (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4)";"Computer Science; Multidisciplinary"
351;21100197515;"International Conference on Control, Automation and Systems";conference and proceedings;"15987833";"IEEE Computer Society";No;No;0,183;-;28;292;932;3563;572;929;0,52;12,20;23,51;0;54;United States;Northern America;"IEEE Computer Society";"2011-2014, 2016-2024";"Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering";"Computer Science; Engineering"
352;19500157321;"Frontiers in Artificial Intelligence and Applications";book series;"09226389, 18798314";"IOS Press BV";No;No;0,177;Q4;66;1749;2236;42048;1448;2084;0,62;24,04;31,74;0;318;Netherlands;Western Europe;"IOS Press BV";"2004-2024";"Artificial Intelligence (Q4)";"Computer Science"
353;21100823281;"International Journal of Software Innovation";journal;"21667179, 21667160";"IGI Global Publishing";No;No;0,177;Q4;13;3;202;91;175;202;0,91;30,33;36,36;0;0;United States;Northern America;"IGI Global Publishing";"2017-2024";"Computer Graphics and Computer-Aided Design (Q3); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Software (Q4)";"Computer Science"
354;21101183610;"International Conference on Pattern Recognition Applications and Methods";conference and proceedings;"21844313";"Science and Technology Publications, Lda";No;No;0,175;-;6;114;276;2899;155;273;0,66;25,43;22,12;0;15;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2024";"Artificial Intelligence; Computer Vision and Pattern Recognition";"Computer Science"
355;21101170296;"CAAI Transactions on Intelligent Systems";journal;"16734785";"";No;No;0,174;Q4;15;93;365;3342;272;362;0,73;35,94;30,06;0;8;China;Asiatic Region;"";"2019-2024";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
356;21100831437;"International Journal of Mechatronics and Applied Mechanics";journal;"25594397, 25596497";"Cefin Publishing House";Yes;No;0,174;Q4;9;98;220;2456;137;216;0,62;25,06;29,71;0;27;Romania;Eastern Europe;"Cefin Publishing House";"2017-2024";"Artificial Intelligence (Q4); Materials Science (miscellaneous) (Q4); Mechanics of Materials (Q4)";"Computer Science; Engineering; Materials Science"
357;21100818502;"Journal of Information Systems and Telecommunication";journal;"23221437, 23452773";"Iranian Academic Center for Education, Culture and Research";Yes;No;0,174;Q4;11;21;106;879;90;106;0,74;41,86;26,53;0;3;Iran;Middle East;"Iranian Academic Center for Education, Culture and Research";"2013-2024";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4); Information Systems (Q4)";"Computer Science"
358;21100872796;"International Journal of Semantic Computing";journal;"17937108, 1793351X";"World Scientific";No;No;0,173;Q4;22;36;92;1272;66;76;0,79;35,33;25,89;0;9;Singapore;Asiatic Region;"World Scientific";"2007-2024";"Linguistics and Language (Q2); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems (Q4); Software (Q4)";"Computer Science; Social Sciences"
359;21101274722;"Journal of Innovative Image Processing";journal;"25824252";"Inventive Research Organization";No;No;0,173;Q4;5;31;57;551;51;57;0,89;17,77;29,73;0;9;India;Asiatic Region;"Inventive Research Organization";"2022-2024";"Artificial Intelligence (Q4); Biomedical Engineering (Q4); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4)";"Computer Science; Engineering"
360;21100885000;"Proceedings - International Conference on Developments in eSystems Engineering, DeSE";conference and proceedings;"21611343";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,172;-;19;0;355;0;301;350;0,64;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2021, 2023";"Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Health Informatics";"Computer Science; Engineering; Medicine"
361;21101131205;"Proceedings - International Conference on Knowledge and Systems Engineering, KSE";conference and proceedings;"26944804";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,172;-;6;0;212;0;125;204;0,54;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2023";"Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Information Systems; Software";"Computer Science; Engineering"
362;21101164612;"Advances in Artificial Intelligence and Machine Learning";journal;"25829793";"Shimur Publications";No;No;0,170;Q4;5;78;105;2366;77;104;0,73;30,33;34,78;0;15;India;Asiatic Region;"Shimur Publications";"2021-2024";"Artificial Intelligence (Q4)";"Computer Science"
363;5800207596;"Linguistica";journal;"2079312X, 11320214";"Asociacion de Linguistica y Filologia de la America Latina";Yes;Yes;0,170;Q4;7;11;64;398;9;58;0,09;36,18;50,00;0;2;Uruguay;Latin America;"Asociacion de Linguistica y Filologia de la America Latina";"2012-2024";"Linguistics and Language (Q2); Artificial Intelligence (Q4)";"Computer Science; Social Sciences"
364;21101129623;"NED University Journal of Research";journal;"27065758, 2304716X";"NED University Press";No;No;0,170;Q4;4;9;22;475;9;22;0,25;52,78;10,71;0;4;Pakistan;Asiatic Region;"NED University Press";"2019-2024";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Computer Science Applications (Q4); Engineering (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4)";"Computer Science; Engineering; Materials Science; Mathematics"
365;21100293202;"Proceedings of the European Conference on Games-based Learning";conference and proceedings;"20490992";"Dechema e.V.";No;No;0,170;-;19;143;319;3685;205;313;0,72;25,77;51,93;0;66;Germany;Western Europe;"Dechema e.V.";"2005-2006, 2008-2009, 2011-2012, 2014-2016, 2018-2024";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Control and Systems Engineering; Education; E-learning; Human-Computer Interaction; Software";"Computer Science; Engineering; Social Sciences"
366;21101132429;"Proceedings of the International Multi-Conference on Society, Cybernetics and Informatics, IMSCI";conference and proceedings;"2831722X";"International Institute of Informatics and Cybernetics";No;No;0,168;-;2;24;58;744;17;52;0,29;31,00;66,00;0;11;United States;Northern America;"International Institute of Informatics and Cybernetics";"2022-2024";"Artificial Intelligence; Information Systems";"Computer Science"
367;21101049060;"Challenges to National Defence in Contemporary Geopolitical Situation";conference and proceedings;"25388959";"General Jonas Zemaitis Military Academy of Lithuania";No;No;0,163;-;5;79;39;1727;32;38;0,82;21,86;27,49;0;20;Lithuania;Eastern Europe;"General Jonas Zemaitis Military Academy of Lithuania";"2018, 2020, 2022, 2024";"Artificial Intelligence; Computer Science Applications; Information Systems and Management; Mechanical Engineering; Political Science and International Relations; Safety Research; Safety, Risk, Reliability and Quality; Sociology and Political Science";"Computer Science; Decision Sciences; Engineering; Social Sciences"
368;21100454976;"Journal of Automation, Mobile Robotics and Intelligent Systems";journal;"20802145, 18978649";"Sciendo";Yes;No;0,161;Q4;13;42;90;1286;60;90;0,51;30,62;21,57;0;4;Poland;Eastern Europe;"Sciendo";"2015-2024";"Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Signal Processing (Q4)";"Computer Science; Engineering"
369;21101260644;"Transactions on Fuzzy Sets and Systems";journal;"28210131";"Islamic Azad University";Yes;Yes;0,160;Q4;4;24;48;656;31;48;0,65;27,33;23,64;0;3;Iran;Middle East;"Islamic Azad University";"2022-2024";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Information Systems and Management (Q4); Logic (Q4)";"Computer Science; Decision Sciences; Mathematics"
370;21101131206;"Proceedings - International Conference on Informatics and Computational Sciences";conference and proceedings;"27677087, 27677079";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,158;-;5;98;92;2404;71;83;0,77;24,53;32,28;0;32;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2022, 2024";"Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Information Systems";"Computer Science"
371;21101212490;"Journal of Cybersecurity and Information Management";journal;"27697851, 26906775";"American Scientific Publishing Group (ASPG)";No;No;0,156;Q4;6;68;43;1848;93;43;2,16;27,18;34,27;0;19;United States;Northern America;"American Scientific Publishing Group (ASPG)";"2022-2025";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science"
372;21100792504;"Journal of Cognitive Science";journal;"15982327, 19766939";"Institute for Cognitive Science at Seoul National University";Yes;No;0,153;Q4;8;8;55;390;14;55;0,17;48,75;46,15;0;0;South Korea;Asiatic Region;"Institute for Cognitive Science at Seoul National University";"2016-2024";"Linguistics and Language (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Computer Science; Neuroscience; Psychology; Social Sciences"
373;87936;"Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence";journal;"10036059";"Science Press";No;No;0,153;Q4;27;83;280;3458;200;280;0,70;41,66;34,39;0;2;China;Asiatic Region;"Science Press";"2001-2024";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Software (Q4)";"Computer Science"
374;21101101245;"Journal of Mechatronics, Electrical Power, and Vehicular Technology";journal;"20886985, 20873379";"National Research and Innovation Agency (BRIN)";Yes;Yes;0,152;Q4;5;19;56;686;38;56;0,83;36,11;25,00;0;11;Indonesia;Asiatic Region;"National Research and Innovation Agency (BRIN)";"2019-2024";"Artificial Intelligence (Q4); Automotive Engineering (Q4); Electrical and Electronic Engineering (Q4); Mechanical Engineering (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Computer Science; Energy; Engineering"
375;21100879714;"International Conference on Advanced Robotics and Intelligent Systems, ARIS";conference and proceedings;"25726919, 23743255";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,151;-;9;35;48;540;27;46;0,56;15,43;30,00;0;12;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017, 2020, 2022-2024";"Artificial Intelligence; Control and Systems Engineering";"Computer Science; Engineering"
376;21101054326;"Studies in Big Data";book series;"21976511, 21976503";"Springer Science and Business Media Deutschland GmbH";No;No;0,150;Q4;39;358;924;16390;996;57;1,09;45,78;0,00;0;141;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2014-2025";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Engineering (miscellaneous) (Q4)";"Computer Science; Engineering"
377;21101172912;"Proceedings of the International Conference on Virtual Learning";conference and proceedings;"18448933, 29719291";"National Institute for R and D in Informatics";No;No;0,150;-;5;34;78;582;20;75;0,34;17,12;57,81;0;12;Romania;Eastern Europe;"National Institute for R and D in Informatics";"2019-2023";"Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Human-Computer Interaction";"Computer Science"
378;21101185513;"Proceedings of the International Conference on Informatics in Control, Automation and Robotics";conference and proceedings;"21842809";"Science and Technology Publications, Lda";No;No;0,149;-;5;0;222;0;118;218;0,53;0,00;0,00;0;0;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2023";"Artificial Intelligence; Signal Processing";"Computer Science"
379;21101181958;"Applications of Modelling and Simulation";journal;"26008084";"ARQII Publication";Yes;Yes;0,148;Q4;7;25;59;1118;44;59;0,68;44,72;21,21;0;6;Malaysia;Asiatic Region;"ARQII Publication";"2019-2025";"Artificial Intelligence (Q4); Electrical and Electronic Engineering (Q4); Engineering (miscellaneous) (Q4); Mechanical Engineering (Q4)";"Computer Science; Engineering"
380;21100225801;"Brazilian Symposium on Games and Digital Entertainment, SBGAMES";conference and proceedings;"21596662, 21596654";"IEEE Computer Society";No;No;0,147;-;13;0;47;0;23;41;0,48;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2011, 2014, 2016-2022";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";"Computer Science"
381;21101066247;"SAE International Journal of Advances and Current Practices in Mobility";journal;"26419645";"SAE International";No;No;0,146;Q4;3;1;225;0;86;225;0,38;0,00;100,00;0;0;United States;Northern America;"SAE International";"2019-2020, 2022-2024";"Aerospace Engineering (Q4); Artificial Intelligence (Q4); Automotive Engineering (Q4); Fuel Technology (Q4); Mechanical Engineering (Q4)";"Computer Science; Energy; Engineering"
382;21101050032;"Proceedings of International Conference on Artificial Life and Robotics";conference and proceedings;"24359157";"ALife Robotics Corporation Ltd";No;No;0,146;-;6;215;556;2270;144;553;0,29;10,56;27,30;0;52;Japan;Asiatic Region;"ALife Robotics Corporation Ltd";"2020-2024";"Artificial Intelligence; Computer Vision and Pattern Recognition; Control and Systems Engineering; Electrical and Electronic Engineering; Hardware and Architecture; Information Systems; Modeling and Simulation";"Computer Science; Engineering; Mathematics"
383;21100325719;"International Journal of Mechatronics and Automation";journal;"20451059, 20451067";"Inderscience";No;No;0,145;Q4;17;0;43;0;23;43;0,15;0,00;0,00;0;0;Switzerland;Western Europe;"Inderscience";"2011-2018, 2020-2022";"Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Mechanics (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Industrial and Manufacturing Engineering (Q4)";"Computer Science; Engineering; Mathematics"
384;21101265515;"Asia-Pacific Journal of Information Technology and Multimedia";journal;"22892192";"Penerbit Universiti Kebangsaan Malaysia";Yes;Yes;0,144;Q4;2;20;40;501;21;40;0,53;25,05;41,86;0;5;Malaysia;Asiatic Region;"Penerbit Universiti Kebangsaan Malaysia";"2022-2024";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4)";"Computer Science"
385;21100853929;"International Journal of Systematic Innovation";journal;"20778767, 20777973";"The Society of Systematic Innovation";No;No;0,141;Q4;7;33;70;931;35;70;0,55;28,21;32,39;0;11;Taiwan;Asiatic Region;"The Society of Systematic Innovation";"2010-2024";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4); Industrial and Manufacturing Engineering (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Mechanical Engineering (Q4); Multidisciplinary (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Multidisciplinary"
386;21100204931;"Sistemi Intelligenti";journal;"11209550, 19738226";"Il Mulino publishing house";No;No;0,141;Q4;9;37;124;1828;36;117;0,43;49,41;49,45;0;4;Italy;Western Europe;"Il Mulino publishing house";"1997-2024";"Linguistics and Language (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Computer Science; Neuroscience; Psychology; Social Sciences"
387;21101132401;"Proceedings of World Multi-Conference on Systemics, Cybernetics and Informatics, WMSCI";conference and proceedings;"27710947";"International Institute of Informatics and Cybernetics";No;No;0,141;-;3;58;166;1342;35;160;0,21;23,14;54,14;0;16;United States;Northern America;"International Institute of Informatics and Cybernetics";"2022-2024";"Artificial Intelligence; Computer Networks and Communications; Information Systems";"Computer Science"
388;21100935898;"Computer Science Journal of Moldova";journal;"15614042";"Institute of Mathematics and Computer Science of Moldova";Yes;Yes;0,139;Q4;7;21;62;523;37;59;0,67;24,90;23,08;0;3;Moldova;Eastern Europe;"Institute of Mathematics and Computer Science of Moldova";"2019-2024";"Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Mathematics"
389;21101214488;"Proceedings of the Australasian Language Technology Workshop";conference and proceedings;"18347037";"Australasian Language Technology Association";No;No;0,137;-;8;0;82;0;40;77;0,50;0,00;0,00;0;0;Australia;Pacific Region;"Australasian Language Technology Association";"2019-2023";"Artificial Intelligence";"Computer Science"
390;21100411629;"Web Intelligence";journal;"24056464, 24056456";"SAGE Publications Ltd";No;No;0,136;Q4;26;31;78;1264;39;78;0,46;40,77;45,28;0;8;Netherlands;Western Europe;"SAGE Publications Ltd";"2015-2024";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4)";"Computer Science"
391;21101181856;"Proceedings IMCIC - International Multi-Conference on Complexity, Informatics and Cybernetics";conference and proceedings;"27715914, 27715922";"International Institute of Informatics and Cybernetics";No;No;0,135;-;2;52;43;1331;7;41;0,16;25,60;41,09;0;20;United States;Northern America;"International Institute of Informatics and Cybernetics";"2023-2024";"Artificial Intelligence; Computer Networks and Communications; Information Systems";"Computer Science"
392;21100327713;"International Journal of Automation and Smart Technology";journal;"22239766";"Chinese Institute of Automation Engineers";Yes;Yes;0,134;Q4;15;6;38;167;16;38;0,41;27,83;18,75;0;4;Taiwan;Asiatic Region;"Chinese Institute of Automation Engineers";"2011-2024";"Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Hardware and Architecture (Q4); Human-Computer Interaction (Q4); Signal Processing (Q4)";"Computer Science; Engineering"
393;21100380994;"Lecture Notes in Computational Vision and Biomechanics";book series;"22129391, 22129413";"Springer International Publishing AG";No;No;0,133;Q4;25;36;65;639;136;1;2,09;17,75;0,00;0;7;Switzerland;Western Europe;"Springer International Publishing AG";"2012-2020, 2023-2024";"Artificial Intelligence (Q4); Biomedical Engineering (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4); Mechanical Engineering (Q4); Signal Processing (Q4)";"Computer Science; Engineering"
394;21101185504;"Proceedings of the AAAI Conference on Artificial Intelligence";conference and proceedings;"21595399, 23743468";"Association for the Advancement of Artificial Intelligence";No;No;0,133;-;17;2861;1;107825;0;1;0,00;37,69;26,91;5;156;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2023-2024";"Artificial Intelligence";"Computer Science"
395;21100244866;"Australasian Conference on Robotics and Automation, ACRA";conference and proceedings;"14482053";"Australasian Robotics and Automation Association";No;No;0,130;-;22;37;98;969;25;95;0,30;26,19;20,37;0;5;Australia;Pacific Region;"Australasian Robotics and Automation Association";"2012-2023";"Artificial Intelligence; Control and Systems Engineering";"Computer Science; Engineering"
396;21100854753;"International Conference of Control, Dynamic Systems, and Robotics";conference and proceedings;"23685433";"Avestia Publishing";No;No;0,130;-;7;24;54;264;18;51;0,38;11,00;20,00;0;7;Canada;Northern America;"Avestia Publishing";"2014-2024";"Artificial Intelligence; Control and Optimization; Control and Systems Engineering";"Computer Science; Engineering; Mathematics"
397;21101209157;"International Joint Conference on Computational Intelligence";conference and proceedings;"21843236";"Science and Technology Publications, Lda";No;No;0,130;-;4;64;156;1764;40;153;0,35;27,56;18,92;0;4;Portugal;Western Europe;"Science and Technology Publications, Lda";"2015-2024";"Artificial Intelligence; Computational Theory and Mathematics";"Computer Science"
398;21101176845;"Journal of Engineering and Technology for Industrial Applications";journal;"24470228";"Galileo Institute of Technology and Education of the Amazon (ITEGAM)";Yes;Yes;0,129;Q4;7;122;115;3346;57;115;0,35;27,43;26,99;0;46;Brazil;Latin America;"Galileo Institute of Technology and Education of the Amazon (ITEGAM)";"2019-2025";"Artificial Intelligence (Q4); Electrical and Electronic Engineering (Q4); Industrial and Manufacturing Engineering (Q4)";"Computer Science; Engineering"
399;21101211357;"IEEE International Symposium for Design and Technology of Electronics Packages, SIITME - Conference Proceedings";conference and proceedings;"26427036, 2641287X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,127;-;2;103;77;1276;17;75;0,22;12,39;33,49;0;42;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2023-2024";"Artificial Intelligence; Control and Optimization; Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Instrumentation; Safety, Risk, Reliability and Quality";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
400;21101201072;"Proceedings of the IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS";conference and proceedings;"27704262, 27704254";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,125;-;4;0;225;0;107;220;0,48;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2023";"Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Control and Optimization; Information Systems; Information Systems and Management; Instrumentation; Modeling and Simulation";"Computer Science; Decision Sciences; Mathematics; Physics and Astronomy"
401;21101181901;"Proceedings ICSIT, International Conference on Society and Information Technologies";conference and proceedings;"27716368, 27716376";"International Institute of Informatics and Cybernetics";No;No;0,124;-;1;29;23;619;2;21;0,09;21,34;59,26;0;11;United States;Northern America;"International Institute of Informatics and Cybernetics";"2023-2024";"Artificial Intelligence; Computer Networks and Communications; Information Systems";"Computer Science"
402;145264;"Transactions of the Japanese Society for Artificial Intelligence";journal;"13460714";"Japanese Society for Artificial Intelligence";No;No;0,123;Q4;18;48;114;1239;26;113;0,31;25,81;16,20;0;6;Japan;Asiatic Region;"Japanese Society for Artificial Intelligence";"2001-2025";"Artificial Intelligence (Q4); Software (Q4)";"Computer Science"
403;21100783205;"Horizon. Studies in Phenomenology";journal;"23116986, 22265260";"Saint Petersburg State University";Yes;No;0,122;Q4;4;34;90;857;8;88;0,08;25,21;27,03;0;2;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2012-2024";"Philosophy (Q3); Artificial Intelligence (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Energy Engineering and Power Technology (Q4); Signal Processing (Q4)";"Arts and Humanities; Computer Science; Energy; Engineering; Mathematics"
404;21101052735;"International Journal of Asia Digital Art and Design";journal;"21897441, 17388074";"Asia Digital Art and Design Association";No;No;0,118;Q4;2;9;25;180;5;25;0,06;20,00;22,22;0;3;Japan;Asiatic Region;"Asia Digital Art and Design Association";"2019-2024";"Visual Arts and Performing Arts (Q3); Artificial Intelligence (Q4); Computer Graphics and Computer-Aided Design (Q4); Computer Networks and Communications (Q4); Software (Q4)";"Arts and Humanities; Computer Science"
405;21101252467;"Annual of Sofia University ";journal;"26035529, 13139215";"Sofia University St Kliment Ohridski Faculty of Mathematics and Informatics";No;No;0,117;Q4;1;8;25;215;2;24;0,11;26,88;41,18;0;1;Bulgaria;Eastern Europe;"Sofia University St Kliment Ohridski Faculty of Mathematics and Informatics";"2020-2024";"Algebra and Number Theory (Q4); Applied Mathematics (Q4); Artificial Intelligence (Q4); Computer Science Applications (Q4)";"Computer Science; Mathematics"
406;21101131212;"Proceedings - Ivannikov ISPRAS Open Conference";conference and proceedings;"27679535";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,115;-;3;0;81;0;27;78;0,32;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2023";"Artificial Intelligence; Computational Mathematics; Modeling and Simulation; Software";"Computer Science; Mathematics"
407;21101089946;"International Conference on Structural Health Monitoring of Intelligent Infrastructure: Transferring Research into Practice, SHMII";conference and proceedings;"25643738";"International Society for Structural Health Monitoring of Intelligent Infrastructure, ISHMII";No;No;0,114;-;5;0;385;0;48;382;0,04;0,00;0,00;0;0;Canada;Northern America;"International Society for Structural Health Monitoring of Intelligent Infrastructure, ISHMII";"2021-2022";"Artificial Intelligence; Building and Construction; Civil and Structural Engineering; Computer Networks and Communications; Information Systems and Management";"Computer Science; Decision Sciences; Engineering"
408;6700153285;"International Journal of Mobile Network Design and Innovation";journal;"17442869, 17442850";"Inderscience Enterprises Ltd";No;No;0,113;Q4;12;12;20;262;5;20;0,15;21,83;24,00;0;5;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2007, 2009-2024";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Management Information Systems (Q4); Software (Q4)";"Business, Management and Accounting; Computer Science"
409;21100900000;"Recent Advances in Slavonic Natural Language Processing";conference and proceedings;"23364289";"Tribun EU s. r. o.";No;No;0,109;-;6;0;65;0;13;59;0,23;0,00;0,00;0;0;Czech Republic;Eastern Europe;"Tribun EU s. r. o.";"2017-2023";"Artificial Intelligence; Computational Theory and Mathematics; Information Systems; Software";"Computer Science"
410;21101211866;"Proceedings - IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies, ChileCon";conference and proceedings;"28321537, 28321529";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,108;-;2;0;157;0;43;153;0,27;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2023";"Artificial Intelligence; Computer Networks and Communications; Control and Optimization; Electrical and Electronic Engineering; Energy Engineering and Power Technology; Hardware and Architecture; Information Systems; Information Systems and Management";"Computer Science; Decision Sciences; Energy; Engineering; Mathematics"
411;21101192809;"Learning and Analytics in Intelligent Systems";book series;"26623455, 26623447";"Springer Nature";No;No;0,107;Q4;18;257;402;5008;161;247;0,44;19,49;41,14;0;94;Switzerland;Western Europe;"Springer Nature";"2019-2024";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
412;21101120437;"Proceedings of the World Congress on Electrical Engineering and Computer Systems and Science";conference and proceedings;"2369811X";"Avestia Publishing";No;No;0,107;-;2;106;146;1404;16;143;0,12;13,25;32,89;0;39;Canada;Northern America;"Avestia Publishing";"2021-2024";"Artificial Intelligence; Biomedical Engineering; Computer Networks and Communications; Electrical and Electronic Engineering; Human-Computer Interaction; Information Systems";"Computer Science; Engineering"
